suite,id,label,category,width,limit,status,time_us,memo_size,calls,tainted,badness,height,bytes,lines,dag_size
lfe-sample,lfe_11_guess_server,guess-server/1 receive loop,real-sample,100,100,ok,231,487,537,37,0,3,147,4,150
lfe-sample,lfe_12_ping_pong,ping-pong gen_server callbacks,real-sample,100,100,ok,329,588,670,83,0,3,177,4,179
lfe-sample,lfe_13_get_page,get-page/1 async httpc,real-sample,100,100,ok,484,810,926,65,0,4,211,5,265
lfe-sample,lfe_14_fish_closure,fish-class/3 closure object,real-sample,100,100,ok,298,556,620,85,0,5,201,6,179
lfe-sample,lfe_15_fish_process,fish-class/3 process loop,real-sample,100,100,ok,271,501,576,46,0,3,201,4,175
lfe-sample,lfe_16_account,account-class/3 cond receive,real-sample,100,100,ok,452,792,891,130,0,5,258,6,230
lfe-sample,lfe_17_eval_expr,eval-expr/2 central case,real-sample,100,100,ok,497,793,919,60,0,6,263,7,304
lfe-sample,lfe_18_parse_bitspecs,parse-bitspecs/3 let/case nesting,real-sample,100,100,ok,451,691,794,86,0,4,206,5,224
lfe-sample,lfe_19_eval_lambda,eval-lambda/2 arity dispatch,real-sample,100,100,ok,399,641,780,28,0,4,209,5,255
lfe-sample,lfe_20_eval_receive,eval-receive/2 fletrec + after,real-sample,100,100,ok,310,658,740,115,0,6,223,7,196
stress-affected,block_arg_match_lambda,match-lambda as call argument,block-argument,20,20,ok,195,134,160,63,3364,0,78,1,86
stress-affected,block_arg_lambda,lambda as call argument,block-argument,20,20,ok,96,83,93,28,0,3,54,4,49
stress-affected,block_arg_case,case as call argument,block-argument,20,20,ok,127,126,140,66,1681,0,61,1,74
stress-affected,block_arg_receive,receive as call argument,block-argument,20,20,ok,115,115,131,42,0,5,84,6,70
stress-affected,fletrec_bindings_12,fletrec with 12 local functions,binding-list,20,20,ok,946,654,950,168,0,25,392,26,501
stress-affected,block_arg_match_lambda,match-lambda as call argument,block-argument,40,40,ok,201,214,249,44,0,4,90,5,86
stress-affected,block_arg_lambda,lambda as call argument,block-argument,40,40,ok,97,112,124,10,0,2,50,3,49
stress-affected,block_arg_case,case as call argument,block-argument,40,40,ok,152,184,203,37,0,3,71,4,74
stress-affected,block_arg_receive,receive as call argument,block-argument,40,40,ok,149,166,187,29,0,3,72,4,70
stress-affected,fletrec_bindings_12,fletrec with 12 local functions,binding-list,40,40,ok,948,757,1102,43,0,13,332,14,501
stress-affected,block_arg_match_lambda,match-lambda as call argument,block-argument,60,60,ok,200,251,290,26,0,2,82,3,86
stress-affected,block_arg_lambda,lambda as call argument,block-argument,60,60,ok,98,114,126,0,0,0,46,1,49
stress-affected,block_arg_case,case as call argument,block-argument,60,60,ok,154,208,228,2,0,1,63,2,74
stress-affected,block_arg_receive,receive as call argument,block-argument,60,60,ok,155,187,209,8,0,1,64,2,70
stress-affected,fletrec_bindings_12,fletrec with 12 local functions,binding-list,60,60,ok,956,830,1181,46,0,13,332,14,501
stress-affected,block_arg_match_lambda,match-lambda as call argument,block-argument,80,80,ok,200,265,304,0,0,0,78,1,86
stress-affected,block_arg_lambda,lambda as call argument,block-argument,80,80,ok,94,114,126,0,0,0,46,1,49
stress-affected,block_arg_case,case as call argument,block-argument,80,80,ok,147,208,228,0,0,0,61,1,74
stress-affected,block_arg_receive,receive as call argument,block-argument,80,80,ok,147,188,210,0,0,0,62,1,70
stress-affected,fletrec_bindings_12,fletrec with 12 local functions,binding-list,80,80,ok,929,896,1252,44,0,13,332,14,501
stress-affected,block_arg_match_lambda,match-lambda as call argument,block-argument,100,100,ok,195,265,304,0,0,0,78,1,86
stress-affected,block_arg_lambda,lambda as call argument,block-argument,100,100,ok,92,114,126,0,0,0,46,1,49
stress-affected,block_arg_case,case as call argument,block-argument,100,100,ok,145,208,228,0,0,0,61,1,74
stress-affected,block_arg_receive,receive as call argument,block-argument,100,100,ok,144,188,210,0,0,0,62,1,70
stress-affected,fletrec_bindings_12,fletrec with 12 local functions,binding-list,100,100,ok,959,963,1324,46,0,13,332,14,501
