id,label,category,size,width,limit,status,time_us,memo_size,calls,tainted,badness,height,bytes,lines,dag_size
proper_list_48,"proper list, 48 items",proper-list,48,60,60,ok,237,206,253,31,0,47,279,48,247
dotted_list_16,"dotted list, 16 prefixes",dotted-list,16,60,60,ok,115,115,131,31,0,16,95,17,94
dotted_list_32,"dotted list, 32 prefixes",dotted-list,32,60,60,ok,178,163,195,31,0,32,191,33,174
generic_call_24,"generic call, 24 args",generic-call,24,60,60,ok,123,119,143,22,0,23,447,24,131
generic_call_48,"generic call, 48 args",generic-call,48,60,60,ok,251,191,239,22,0,47,903,48,251
deep_sexp_8,"deep generic S-expression, depth 8",deep-sexp,8,60,60,ok,421,387,456,65,0,10,498,11,284
deep_sexp_12,"deep generic S-expression, depth 12",deep-sexp,12,60,60,ok,483,186,232,141,92416,0,364,1,424
shared_concat_10,"direct shared concat DAG, depth 10",shared-dag,10,60,60,ok,466,19,19,11,125529616,0,11264,1,11
shared_choice_8,"direct shared choice DAG, depth 8",shared-dag,8,60,60,ok,178,167,349,20,0,51,2867,52,34
quote_tower_12,"quote/backquote/unquote tower, depth 12",quote-tower,12,60,60,ok,101,99,107,0,0,0,41,1,59
quote_tower_18,"quote/backquote/unquote tower, depth 18",quote-tower,18,60,60,ok,107,111,119,0,0,0,47,1,65
let_bindings_16,let with 16 bindings,binding-list,16,60,60,ok,1038,902,1331,19,0,16,403,17,595
letstar_bindings_24,let* with 24 bindings,binding-list,24,60,60,ok,1655,1205,1874,25,0,24,611,25,851
fletrec_bindings_12,fletrec with 12 local functions,binding-list,12,60,60,ok,900,809,1199,26,0,12,407,13,525
nested_case_8,"nested case clauses, depth 8",clause-form,8,60,60,ok,1070,1190,1313,365,0,23,644,24,272
nested_receive_6,"nested receive clauses, depth 6",clause-form,6,60,60,ok,1057,1179,1336,346,0,17,481,18,351
nested_cond_12,cond with 12 clauses,clause-form,12,60,60,ok,847,689,1037,22,0,12,288,13,449
block_arg_match_lambda,match-lambda as call argument,block-argument,8,60,60,ok,176,181,214,25,0,3,127,4,85
block_arg_lambda,lambda as call argument,block-argument,8,60,60,ok,82,82,93,0,0,0,46,1,48
block_arg_case,case as call argument,block-argument,8,60,60,ok,136,151,170,2,0,2,83,3,73
